rank,programme_name,institution,job_title,job_url,hybrid_score,semantic_score,top_skill_gaps
2,Artificial intelligence,Kaunas University of Technology,MID DI inžinierius (-ė) – prisijunk prie mūsų komandos ir kurk inovacijas!,https://en.cvbankas.lt/mid-di-inzinierius-e-prisijunk-prie-musu-komandos-ir-kurk-inovacijas-vilniuje/1-13699111,0.3881,0.5059,
3,Artificial intelligence,Kaunas University of Technology,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,https://en.cvbankas.lt/dirbtinio-intelekto-inziniere-ius-it-skyriuje-vilniuje/1-13749365,0.3715,0.6184,
4,Artificial intelligence,Kaunas University of Technology,AI Engineer (Applied AI) with verification,https://www.linkedin.com/jobs/view/4354609788/?eBP=CwEAAAGdXU_3Lpjva5gehuwkyxZOOeCMBLNABZouwvt95moQqldkZj82d9MFxAibHKwvHcRydrXa6rtBTFPsNBV4zX_5A9KyNJf_-ofgUfq-YZy77hlw36EosJqJdYRk9kmsGtqraQU9QmeTS5B89rNfVK9JUwgH9JOInDbgeM7epx921DQd72SXaWo1M0sb7HPrANFJ8FeiSgJOGh6xnkYWXMiBHEXNBJAecBgWS__K1NYvsYF60BZMbiTaH_Fm_SaXOiAcdqqFCab_EOtkdZzXKLDlT-W5wJSMXMeTqBv0slR8E8kDATovomB-czBgotIfWw9P9QX5o2s3qOh9QNMYse5ipOuzs1PSB2z1LQ3vhmi-GmGjkSX-MNTAPOgg2fRDV8aFmuACRRT6zWk8hRzE0XZd-FYmj-XKmqo9Veo0dJ62XkYlmgHz8aSHlLU9FV4-GypB9bSK156pWGRrTqxwjjyRrbfPWrduFwS0Rf7o30kJlFxUrKo8awCgQca5ifXdmZIc2QR8EekFCC7YSUkcjXohNje0D35mC3QLNQ&refId=wk4fVenEURubDB1Ehtm5HQ%3D%3D&trackingId=t02SStjRfp6kvPP77%2BKNiw%3D%3D&trk=flagship3_search_srp_jobs,0.3562,0.6263,
5,Artificial intelligence,Kaunas University of Technology,Programuotojas / AI (DI) inžinierius,https://en.cvbankas.lt/programuotojas-ai-di-inzinierius-vilniuje/1-13706229,0.3055,0.5917,
6,Artificial intelligence,Kaunas University of Technology,AI SOLUTIONS EXPERT (F/M/D),https://en.cvbankas.lt/ai-solutions-expert-f-m-d-vilniuje/1-13705505,0.3023,0.5232,
7,Artificial intelligence,Kaunas University of Technology,IT specialistas procesų automatizavimui,https://en.cvbankas.lt/it-specialistas-procesu-automatizavimui-kaune/1-13254683,0.2746,0.4922,
8,Artificial intelligence,Kaunas University of Technology,Senior Data Engineer,https://en.cvbankas.lt/senior-data-engineer-vilniuje/1-13750755,0.2634,0.4696,"Python (computer programming); data extraction, transformation and loading tools; database"
9,Artificial intelligence,Kaunas University of Technology,Machine Learning Engineer (Mid-level),https://www.linkedin.com/jobs/view/4383483266/?eBP=CwEAAAGdXVTxFARRigmVXL7I2I4uKi9f7lZq-6UIx9iRoXgMSqiJH9NYKMmGEcjc_52WuTMw0XfmSU_YRjMKqtqhsW6oqoqA6HQxZjisJhUhoXD5RPn1_ogRBd0Dq1v1Q-7y2haUhExh866bCNd4jQyCqsfJANR6Er5kyIIk9EKhk3pXHpRfqsHXkIIDbD3PoZt15CnExR1apMNGEmqvCR6y5VFWKFMiX4TZZ9h9fURlEw6vqNczTa1Up2rElSf8YPYP8kyEkU2nMq35C57ISCco1dPv-fz1B9uLjW5uejRkg4MY1QPKG8azWr1k2Ap-wsBChdFrw-Pz0mrnYotcN063oKAtiNzBRYwToxXtB3l1Al_lbaw5-CoC2Y6iswScPd08pQzWQgdaKdPxAoTbTMEhNhdKLpbVHoI8iX3KfwMWFLpQX6cebaeH6uUrwPgBKiAnlb64i-H0J0W-3aPeYYckiNk-CS8ajR0t7r33e6x7LDkvhoWg7haZz5TvSnixhCopjVMzrHLabxhJq0_gPjRQosSoB7WJfByKBEo&refId=8E32x5IjZ%2BhE0AVcGSKhpw%3D%3D&trackingId=Ufhb%2FD%2Flc0rXMBADMop9dw%3D%3D&trk=flagship3_search_srp_jobs,0.2566,0.487,
10,Artificial intelligence,Kaunas University of Technology,DIRBTINIO INTELEKTO IR AUTOMATIZACIJŲ VADOVAS (-Ė),https://en.cvbankas.lt/dirbtinio-intelekto-ir-automatizaciju-vadovas-e-vilniuje/1-13752609,0.2243,0.4993,
1,Information and Communication Technologies,Vilnius Gediminas Technical University,Integration / Automation Engineer,https://en.cvbankas.lt/integration-automation-engineer-vilniuje/1-13740891,0.2275,0.4766,
2,Information and Communication Technologies,Vilnius Gediminas Technical University,PROGRAMUOTOJAS (-A) (PASTATŲ VALDYMAS),https://en.cvbankas.lt/programuotojas-a-pastatu-valdymas-vilniuje/1-13540655,0.1895,0.4886,
3,Information and Communication Technologies,Vilnius Gediminas Technical University,.NET Developer,https://en.cvbankas.lt/net-developer-kaune/1-13546657,0.1458,0.527,
4,Information and Communication Technologies,Vilnius Gediminas Technical University,Jaunesnysis IT inžinierius,https://en.cvbankas.lt/jaunesnysis-it-inzinierius-vilniuje/1-13409158,0.1239,0.4648,
5,Information and Communication Technologies,Vilnius Gediminas Technical University,Technologijų departamento direktorius (-ė),https://en.cvbankas.lt/technologiju-departamento-direktorius-e-klaipedoje/1-13740375,0.121,0.4977,
6,Information and Communication Technologies,Vilnius Gediminas Technical University,IT inžinierius (-ė),https://en.cvbankas.lt/it-inzinierius-e-kaune/1-13753731,0.1111,0.4879,
7,Information and Communication Technologies,Vilnius Gediminas Technical University,Tinklų architektas (-ė),https://en.cvbankas.lt/tinklu-architektas-e-vilniuje/1-13768335,0.1104,0.507,
8,Information and Communication Technologies,Vilnius Gediminas Technical University,"IT projektų vadovė (-as) (IT / OT, ICS / SCADA sritis)",https://en.cvbankas.lt/it-projektu-vadove-as-it-ot-ics-scada-sritis-vilniuje/1-13640803,0.1017,0.5003,
9,Information and Communication Technologies,Vilnius Gediminas Technical University,IT SISTEMŲ ADMINISTRATORIUS (-Ė),https://en.cvbankas.lt/it-sistemu-administratorius-e-vilniuje/1-13761897,0.0963,0.5402,manufacturing processes; data protection; solve problems
10,Information and Communication Technologies,Vilnius Gediminas Technical University,Head of Processes and Technology Department,https://en.cvbankas.lt/head-of-processes-and-technology-department-vilniuje/1-13716087,0.0838,0.5229,
1,Information Technologies,Vilnius Gediminas Technical University,"Full-Stack programuotojas (-a) (ERP, Chat, Apps)",https://en.cvbankas.lt/full-stack-programuotojas-a-erp-chat-apps-vilniuje/1-13754895,0.0,0.0,ICT project management methodologies; Java (computer programming); Swift (computer programming)
2,Information Technologies,Vilnius Gediminas Technical University,Network Automation Engineer,https://en.cvbankas.lt/network-automation-engineer-kaune/1-13756649,0.0,0.0,English; network engineering; electrical engineering
3,Information Technologies,Vilnius Gediminas Technical University,DevOps Engineer (ServiceNow),https://en.cvbankas.lt/devops-engineer-servicenow-kaune/1-13756647,0.0,0.0,troubleshoot; JavaScript; SQL
4,Information Technologies,Vilnius Gediminas Technical University,"Microsoft Dynamics Business Central (NAV, Navision) programuotojas (-a)",https://en.cvbankas.lt/microsoft-dynamics-business-central-nav-navision-programuotojas-a-vilniuje/1-8223735,0.0,0.0,English; solve problems; web services
5,Information Technologies,Vilnius Gediminas Technical University,IT Technikas,https://en.cvbankas.lt/it-technikas-ukmergeje/1-11323919,0.0,0.0,English; accounting; perform warehousing operations
6,Information Technologies,Vilnius Gediminas Technical University,People data analyst,https://en.cvbankas.lt/people-data-analyst-vilniuje/1-13681239,0.0,0.0,SQL; work in teams; French
7,Information Technologies,Vilnius Gediminas Technical University,JUNIOR POWER PLATFORM DEVELOPER (F/M/D),https://en.cvbankas.lt/junior-power-platform-developer-f-m-d-vilniuje/1-13680221,0.0,0.0,JavaScript; DevOps; communication
8,Information Technologies,Vilnius Gediminas Technical University,Vyriausiasis (-oji) duomenų inžinierius (-ė),https://en.cvbankas.lt/vyriausiasis-oji-duomenu-inzinierius-e-vilniuje/1-13752215,0.0,0.0,SQL; computer science; English
9,Information Technologies,Vilnius Gediminas Technical University,IT specialistas (-ė) (kompiuterinių darbo vietų priežiūra),https://en.cvbankas.lt/it-specialistas-e-kompiuteriniu-darbo-vietu-prieziura-vilniuje/1-13755395,0.0,0.0,English; communication; troubleshoot
10,Information Technologies,Vilnius Gediminas Technical University,IT specialistas (-ė),https://en.cvbankas.lt/it-specialistas-e-klaipedoje/1-13478631,0.0,0.0,computer equipment; maintain equipment; electrical equipment components
1,Information Technologies,Vilnius University,IT PASLAUGŲ VALDYMO ANALITIKĖ (-AS),https://en.cvbankas.lt/it-paslaugu-valdymo-analitike-as-vilniuje/1-13760149,0.2647,0.5683,
2,Information Technologies,Vilnius University,Vyr. sistemų analitikas (-ė) (NTR modernizavimui),https://en.cvbankas.lt/vyr-sistemu-analitikas-e-ntr-modernizavimui-vilniuje/1-13768673,0.2476,0.5781,morality; manage time; work in teams
